cDNA_length,cds_length,exon_nr,5_MAR_presence,3_MAR_presence,5_polyA_18_presence,5_CCGNN_2_5_presence,perc_go_hk_match,perc_go_ts_match,unsup_predicted
2294.0,2166.0,,0.0,1.0,0.0,0.0,0.0,0.0,0
2874.0,1452.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2096.0,339.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2096.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1008.0,684.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718.0,1167.0,9.0,0.0,1.0,0.0,1.0,,,0
1444.0,1374.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2069.0,738.0,,0.0,0.0,0.0,0.0,0.25,0.25,0
1303.0,954.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
1067.0,783.0,,0.0,0.0,0.0,1.0,0.0,0.25,0
2849.0,2067.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2794.0,2229.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
3378.0,2577.0,,0.0,0.0,0.0,0.0,0.0,0.5,0
2981.0,2577.0,,0.0,0.0,0.0,0.0,0.0,0.5,0
2966.0,2562.0,,0.0,0.0,0.0,0.0,0.0,0.5,0
2391.0,1590.0,,0.0,1.0,1.0,0.0,0.0,0.1666667,0
3926.0,3696.0,,0.0,0.0,0.0,1.0,0.0,0.6666667,0
1290.0,1290.0,,0.0,0.0,0.0,1.0,0.0,0.6666667,0
2365.0,1404.0,,0.0,0.0,0.0,0.0,0.0,0.3333333,0
1156.0,498.0,,0.0,0.0,0.0,0.0,0.0,0.3333333,0
3717.0,1914.0,,0.0,0.0,0.0,0.0,0.0,0.14285710000000001,1
2771.0,1044.0,,0.0,1.0,0.0,1.0,0.0,0.1666667,1
2974.0,957.0,,0.0,1.0,0.0,1.0,0.0,0.1666667,0
2684.0,957.0,,0.0,1.0,0.0,1.0,0.0,0.1666667,0
2527.0,864.0,,0.0,0.0,0.0,1.0,,,1
2663.0,864.0,,0.0,0.0,0.0,1.0,,,1
5286.0,1227.0,,0.0,0.0,1.0,1.0,,,1
2708.0,402.0,,0.0,0.0,1.0,1.0,,,1
1756.0,681.0,,0.0,0.0,1.0,1.0,,,0
2287.0,927.0,,0.0,0.0,0.0,0.0,,,0
2436.0,2205.0,,0.0,0.0,0.0,0.0,,,0
4311.0,1362.0,,0.0,0.0,0.0,0.0,0.0,0.5,0
3515.0,2358.0,,0.0,0.0,0.0,1.0,0.0,1.0,0
6128.0,4443.0,,0.0,0.0,0.0,0.0,0.0,0.2307692,0
4030.0,3645.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
3036.0,1530.0,,0.0,0.0,0.0,0.0,0.0,0.4285714,0
4762.0,2211.0,,0.0,1.0,0.0,1.0,0.0,0.0,0
4997.0,2211.0,,0.0,1.0,0.0,1.0,0.0,0.0,0
2850.0,681.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2679.0,1257.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2366.0,1257.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2426.0,681.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2280.0,2238.0,,0.0,0.0,0.0,0.0,0.0,0.3333333,0
1127.0,507.0,,0.0,0.0,0.0,1.0,0.0,0.4,0
